NtsbNo,ProbableCause,Findings,Event.Id,narratives.narr_cause,safetyrecs2026-02-28_15-34.Recommendation
OPS10IA001,"The flight crew�s failure to identify the correct landing surface due to fatigue. Contributing to the cause of the incident were (1) the flight crew�s decision to accept a late runway change, (2) the unavailability of the approach light system and the instrument landing system for the runway of intended landing, and (3) the combination of numerous taxiway signs and intermixing of light technologies on the taxiway.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Environmental issues - Operating environment - Approach aid coverage/avail - Localizer - Availability of related info, Environmental issues - Operating environment - Approach aid coverage/avail - Approach lighting - Availability of related info, Environmental issues - Operating environment - Airport facilities/design - Taxiway lighting - Contributed to outcome, Environmental issues - Operating environment - Airport facilities/design - Taxiway markings/signage - Decision related to condition, Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Instructor/check pilot, Personnel issues - Physical - Alertness/Fatigue - (general) - Flight crew, Environmental issues - Operating environment - Radar services/coverage - Surface/taxi - Not specified",20091020X05636,"The flight crew�s failure to identify the correct landing surface due to fatigue. Contributing to the cause of the incident were (1) the flight crew�s decision to accept a late runway change, (2) the unavailability of the approach light system and the instrument landing system for the runway of intended landing, and (3) the combination of numerous taxiway signs and intermixing of light technologies on the taxiway.",TO THE FEDERAL AVIATION ADMINISTRATION: Perform a technical review of Airport Surface Detection Equipment�Model X (ASDE-X) to determine if the capability exists systemwide to detect improper operations such as landings on taxiways.
DCA10IA001,The flight crew's failure to monitor the airplane�s radio and instruments and the progress of the flight after becoming distracted by conversations and activities unrelated to the operation of the flight.,"Personnel issues - Psychological - Attention/monitoring - Monitoring communications - Flight crew, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Flight crew, Environmental issues - Operating environment - Air traffic/operating proc - (general) - Not specified",20091022X00120,The flight crew's failure to monitor the airplane�s radio and instruments and the progress of the flight after becoming distracted by conversations and activities unrelated to the operation of the flight.,"TO THE FEDERAL AVIATION ADMINISTRATION: Require air traffic controllers to use standard phraseology, such as on guard, to verbally identify transmissions over emergency frequencies as emergencies."
ENG10IA029,"The ignition of the J5 power terminal located on the captain�s No. 1 windshield due to a loose electrical connection between the terminal connector lug and its respective terminal block. The loose connection resulted from a missing lock washer that allowed the resistance in the electrical path to increase sufficiently to generate high enough temperatures to ignite the terminal block.

Contributing to the probable cause was the lack of instructions to ensure the lock washer was installed in the J5 power terminal block in the Boeing 757 aircraft maintenance manual (AMM). 

Additionally, contributing to the incident was the deferral of the related maintenance write-up before the incident, which resulted from information in the United Airlines AMM that stated, �When bus bar(s) show signs of blackening or burning, the condition is acceptable for continued service, although the window must be replaced within 50 flight-hours.","Aircraft - Aircraft structures - Windows-windshield system - Flight compartment windows - Incorrect service/maintenance, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Maintenance provider, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Manufacturer, Aircraft - Aircraft systems - Oxygen system - Crew oxygen system - Design, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - FAA/Regulator",20100517X92932,"The ignition of the J5 power terminal located on the captain�s No. 1 windshield due to a loose electrical connection between the terminal connector lug and its respective terminal block. The loose connection resulted from a missing lock washer that allowed the resistance in the electrical path to increase sufficiently to generate high enough temperatures to ignite the terminal block.

Contributing to the probable cause was the lack of instructions to ensure the lock washer was installed in the J5 power terminal block in the Boeing 757 aircraft maintenance manual (AMM). 

Additionally, contributing to the incident was the deferral of the related maintenance write-up before the incident, which resulted from information in the United Airlines AMM that stated, �When bus bar(s) show signs of blackening or burning, the condition is acceptable for continued service, although the window must be replaced within 50 flight-hours.","TO THE FEDERAL AVIATION ADMINISTRATION: Amend Advisory Circulars 20-42D, �Hand Fire Extinguishers for Use in Aircraft�; 25-17A, �Transport Airplane Cabin Interiors Crashworthiness Handbook�; and 25-22, �Certification of Transport Airplane Mechanical Systems� to indicate that hand fire extinguishers in the cockpit must be reachable by at least one flight crewmember while wearing an oxygen mask."
CEN10LA363,"The inadvertent encounter with convective weather during cruise flight. Contributing to the accident was the flight crew's failure to detect and avoid the thunderstorm cell earlier in the flight, and the failure of air traffic controllers to provide the convective weather information to the flight crew.","Personnel issues - Task performance - Communication (personnel) - Lack of communication - ATC personnel, Personnel issues - Task performance - Planning/preparation - Weather planning - Flight crew, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation",20100701X93344,"The inadvertent encounter with convective weather during cruise flight. Contributing to the accident was the flight crew's failure to detect and avoid the thunderstorm cell earlier in the flight, and the failure of air traffic controllers to provide the convective weather information to the flight crew.","TO THE FEDERAL AVIATION ADMINISTRATION: To the extent practicable, incorporate direct center weather service unit briefings on new weather-related air traffic control equipment and information services into controller training."
DCA20MA002,"The landing gear manufacturer�s incorrect wiring of the wheel speed transducer harnesses on the left main landing gear during overhaul. The incorrect wiring caused the antiskid system not to function as intended, resulting in the failure of the left outboard tire and a significant loss of the airplane�s braking ability, which led to the runway overrun. Contributing to the accident were (1) Saab�s design of the wheel speed transducer wire harnesses, which did not consider and protect against human error during maintenance; (2) the Federal Aviation Administration�s lack of consideration of the runway safety area dimensions at Unalaska Airport during the authorization process that allowed the Saab 2000 to operate at the airport; and (3) the flight crewmembers� inappropriate decision, due to their plan continuation bias, to land on a runway with a reported tailwind that exceeded the airplane manufacturer�s limit. The safety margin was further reduced because of PenAir�s failure to correctly apply its company-designated pilot-in -command airport qualification policy, which allowed the accident captain to operate at one of the most challenging airports in PenAir�s route system with limited experience at the airport and in the Saab 2000 airplane.","Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Other, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect service/maintenance, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Attain/maintain not possible, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Decision related to condition, Organizational issues - Development - Design - Equipment design - Manufacturer, Aircraft - Aircraft systems - Landing gear system - Land gear sys wiring - Design, Organizational issues - Management - Policy/procedure - (general) - Operator, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - FAA/Regulator, Environmental issues - Operating environment - Airport facilities/design - (general) - Decision related to condition",20191018X02019,"The landing gear manufacturer�s incorrect wiring of the wheel speed transducer harnesses on the left main landing gear during overhaul. The incorrect wiring caused the antiskid system not to function as intended, resulting in the failure of the left outboard tire and a significant loss of the airplane�s braking ability, which led to the runway overrun. Contributing to the accident were (1) Saab�s design of the wheel speed transducer wire harnesses, which did not consider and protect against human error during maintenance; (2) the Federal Aviation Administration�s lack of consideration of the runway safety area dimensions at Unalaska Airport during the authorization process that allowed the Saab 2000 to operate at the airport; and (3) the flight crewmembers� inappropriate decision, due to their plan continuation bias, to land on a runway with a reported tailwind that exceeded the airplane manufacturer�s limit. The safety margin was further reduced because of PenAir�s failure to correctly apply its company-designated pilot-in-command airport qualification policy, which allowed the accident captain to operate at one of the most challenging airports in PenAir�s route system with limited experience at the airport and in the Saab 2000 airplane.",TO THE SAAB GROUP: Redesign the wheel speed transducer wire harnesses for the Saab 2000 airplane to prevent the harnesses from being installed incorrectly during maintenance and overhaul.
DCA11IA015,"a manufacturing defect in a clutch mechanism that prevented the speedbrakes from automatically deploying after touchdown, and the captain�s failure to monitor and extend the speedbrakes manually. Also causal was the failure of the thrust reversers to deploy when initially commanded. Contributing to the incident was the captain�s failure to confirm speedbrake extension before announcing their deployment, and his distraction caused by the thrust reversers� failure to initially deploy after landing.","Aircraft - Aircraft systems - Flight control system - Drag control system - Malfunction, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft power plant - Engine exhaust - Thrust reverser - Malfunction, Personnel issues - Action/decision - Action - (general) - Pilot, Organizational issues - Development - Manufacture/production - Equipment manufacture - Manufacturer",20101229X22154,"a manufacturing defect in a clutch mechanism that prevented the speedbrakes from automatically deploying after touchdown, and the captain�s failure to monitor and extend the speedbrakes manually. Also causal was the failure of the thrust reversers to deploy when initially commanded. Contributing to the incident was the captain�s failure to confirm speedbrake extension before announcing their deployment, and his distraction caused by the thrust reversers� failure to initially deploy after landing.",TO THE FEDERAL AVIATION ADMINISTRATION: Require all newly type-certificated 14 Code of Federal Regulations Part 25 airplanes to have a clearly distinguishable and intelligible alert that warns pilots when the speedbrakes have not deployed during the landing roll.
CEN11IA341,"The fatigue failure of the nose landing gear (NLG) end cap, which resulted in insufficient hydraulic pressure to secure the left main landing gear into the down and locked position. Contributing to the fatigue failure was the NLG end cap�s non-optimum grain direction and the inadequate inspection procedure performed during overhaul.","Aircraft - Aircraft systems - Landing gear system - Landing gear actuator - Failure, Aircraft - Aircraft systems - Landing gear system - Gear position and warning - Not specified, Aircraft - Aircraft systems - Landing gear system - Landing gear actuator - Design, Aircraft - Aircraft handling/service - Maintenance/inspections - (general) - Inadequate inspection",20110517X80339,"The fatigue failure of the nose landing gear (NLG) end cap, which resulted in insufficient hydraulic pressure to secure the left main landing gear into the down and locked position. Contributing to the fatigue failure was the NLG end cap�s non-optimum grain direction and the inadequate inspection procedure performed during overhaul.",TO THE HAWKER BEECHCRAFT CORPORATION: Develop and implement a replacement program for all Beechcraft 1900D nose landing gear end caps based on the fatigue life determined in Safety Recommendation A-13-04.
DCA19MA086,"The inappropriate response by the first officer as the pilot flying to an inadvertent activation of the go-around mode, which led to his spatial disorientation and nose-down control inputs that placed the airplane in a steep descent from which the crew did not recover. Contributing to the accident was the captain's failure to adequately monitor the airplane's flightpath and assume positive control of the airplane to effectively intervene. Also contributing were systemic deficiencies in the aviation industry's selection and performance measurement practices, which failed to address the first officer's aptitude-related deficiencies and maladaptive stress response. Also contributing to the accident was the Federal Aviation Administration's failure to implement the pilot records database in a sufficiently robust and timely manner.","Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Personnel records - Not specified, Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Personnel records - FAA/Regulator, Aircraft - Aircraft systems - Auto flight system - (general) - Unintentional use/operation, Personnel issues - Experience/knowledge - Experience/qualifications - Qualification/certification - Copilot, Personnel issues - Psychological - Perception/orientation/illusion - (general) - Copilot, Personnel issues - Experience/knowledge - (general) - (general) - Copilot, Personnel issues - Psychological - Attention/monitoring - Attention - Pilot, Personnel issues - Psychological - Personality/attitude - Personality - Copilot, Personnel issues - Task performance - Use of equip/info - Use of automation - Copilot, Personnel issues - Action/decision - Action - Incorrect action performance - Copilot, Aircraft - Aircraft systems - Indicating/recording systems - Data recorders (flight/maint) - Design, Aircraft - Aircraft systems - Auto flight system - (general) - Design",20190223X60222,"The inappropriate response by the first officer as the pilot flying to an inadvertent activation of the go-around mode, which led to his spatial disorientation and nose-down control inputs that placed the airplane in a steep descent from which the crew did not recover. Contributing to the accident was the captain's failure to adequately monitor the airplane's flightpath and assume positive control of the airplane to effectively intervene. Also contributing were systemic deficiencies in the aviation industry's selection and performance measurement practices, which failed to address the first officer's aptitude-related deficiencies and maladaptive stress response. Also contributing to the accident was the Federal Aviation Administration's failure to implement the pilot records database in a sufficiently robust and timely manner.","TO THE FEDERAL AVIATION ADMINISTRATION: Inform Title 14 Code of Federal Regulations Part 119 certificate holders, air tour operators, fractional ownership programs, corporate flight departments, and governmental entities conducting public aircraft operations about the hiring process vulnerabilities identified in this accident, and revise Advisory Circular 120-68H, �Pilot Records Improvement Act and Pilot Records Database,� to emphasize that operators should include flight operations subject matter experts early in the records review process and ensure that significant training issues are identified and fully evaluated."
DCA20IA014,"The captain�s use of his pitch trim switch, which had been placarded inoperative but not deactivated, resulting in the airplane pitching up when the captain was trying to trim down.  The trim commands were reversed due to maintenance personnel�s incorrect installation of the pitch trim switch.   Contributing to the incident was the operator�s delay in incorporating SB 170-27-0051 which would have prevented the switch from being installed inverted.","Aircraft - Aircraft systems - Flight control system - Stabilizer control system - Incorrect service/maintenance, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Personnel issues - Action/decision - Action - Delayed action - Maintenance personnel",20191108X21802,"The captain�s use of his pitch trim switch, which had been placarded inoperative but not deactivated, resulting in the airplane pitching up when the captain was trying to trim down.  The trim commands were reversed due to maintenance personnel�s incorrect installation of the pitch trim switch.   Contributing to the incident was the operator�s delay in incorporating SB 170-27-0051 which would have prevented the switch from being installed inverted.","TO THE NATIONAL CIVIL AVIATION AGENCY OF BRAZIL: Require Embraer to develop instructions for operators of Embraer EMB-170/175/190/195/Lineage 1000 series airplanes to inspect the wiring in the captain�s and first officer�s control columns for damage, replace where needed, and ensure proper clearance from adjacent components, including the forward mechanical stop bolt and its safety wire."
ENG12IA010,The failure of the American Airlines aviation maintenance technicians to properly reassemble the two-piece bracket and spray shield on the integrated drive generator fuel-oil heat exchanger that caused a fuel leak that sprayed out and ignited on hot engine cases. Contributing to the cause of the fire was the 767 Aircraft Maintenance Manual�s lack of any graphical or pictorial displays of the correct assembly of the two-piece bracket and spray shield.,"Aircraft - Aircraft power plant - Engine fuel and control - Fuel oil cooler - Incorrect service/maintenance, Organizational issues - Management - Resources - Adequacy of documents/info - Manufacturer",20120208X70842,The failure of the American Airlines aviation maintenance technicians to properly reassemble the two-piece bracket and spray shield on the integrated drive generator fuel-oil heat exchanger that caused a fuel leak that sprayed out and ignited on hot engine cases. Contributing to the cause of the fire was the 767 Aircraft Maintenance Manual�s lack of any graphical or pictorial displays of the correct assembly of the two-piece bracket and spray shield.,"TO THE FEDERAL AVIATION ADMINISTRATION: Issue an airworthiness directive to require the incorporation of General Electric Aircraft Engines Service Bulletin 73-0242, �Fuel and Control � (73-00-00) � Spray Shields and Support Bracket � Improvement,� to prevent fires on CF6-80C2 engines due to misassembly of the two-piece support bracket and spray shield on the front of the integrated drive generator fuel-oil heat exchanger."
